left,top,width,height,text,label
80,124,305,52,FACTURE,O
77,317,92,20,Facturé,O
177,317,11,20,a,O
575,317,57,20,Date,O
77,359,62,20,Marc,O
147,359,71,20,Demo,O
574,359,41,20,mai,INVOICE_DATE
624,359,36,23,29,INVOICE_DATE
667,359,62,20,2018,INVOICE_DATE
76,401,62,20,3575,O
147,401,75,20,Buena,O
229,400,62,21,Vista,O
298,401,93,20,Avenue,O
575,424,43,20,inte,O
640,423,62,21,aE,O
77,443,88,25,Eugene,O
173,443,58,20,COR,O
239,443,78,20,97401,O
574,430,58,39,mare,O
662,429,114,15,qecneance,O
82,481,6,3,2,O
182,485,3,4,‘,O
572,465,28,26,jul,INVOICE_DUE_DATE
609,466,36,24,28,INVOICE_DUE_DATE
653,466,63,20,2018,INVOICE_DUE_DATE
77,486,60,20,Etats,O
146,486,52,20,Unis,O
77,646,180,20,DESCRIPTION,O
75,732,129,21,Architecte,LINE/DESCRIPTION
213,732,103,26,Principal,LINE/DESCRIPTION
326,731,149,26,(Facturation,LINE/DESCRIPTION
483,738,37,15,sur,LINE/DESCRIPTION
529,732,91,21,Feuilles,LINE/DESCRIPTION
628,732,28,21,de,LINE/DESCRIPTION
663,731,88,27,Temps),LINE/DESCRIPTION
863,70,177,25,YourCompany,SUPPLIER
864,113,47,20,250,O
919,112,118,21,Executive,ADDRESS
1046,112,54,21,Park,ADDRESS
1108,112,51,21,Blvd,ADDRESS
865,155,79,20,94134,ADDRESS
950,155,43,20,San,ADDRESS
1002,154,115,21,Francisco,ADDRESS
865,197,81,20,France,ADDRESS
897,317,92,20,Facture,O
997,317,30,20,N°,O
1291,317,105,20,Monrant,O
1404,317,11,20,a,O
1424,316,71,26,régler,O
897,358,248,22,FA05/2018/055584,NUMBER
1291,359,29,20,12,O
1328,359,106,23,780,O
1421,354,15,35,€,O
897,424,123,20,Reference,O
897,466,116,20,BC00224,PO_NUMBER
1173,646,33,20,PU,O
1356,646,53,24,QTE,O
1442,646,156,20,SOUS-TOTA,O
1122,733,84,24,150,LINE/QUANTITY
1341,733,69,24,71,LINE/PRICE
1471,733,28,20,10,LINE/SUB_TOTAL
1507,733,85,24,650,LINE/SUB_TOTAL
1017,1694,62,21,Total,O
1089,1695,35,20,HT,O
1402,1695,29,20,10,TOTAL_UNTAXED
1438,1695,107,24,650,TOTAL_UNTAXED
1532,1690,15,35,€,TOTAL_UNTAXED
1053,1783,70,20,Taxes,O
1400,1783,30,20,2,TAX_AMOUNT
1440,1783,83,24,130,TAX_AMOUNT
1530,1783,15,20,€,TAX_AMOUNT
1004,1872,61,21,Total,O
1073,1873,51,20,TTC,O
1402,1873,28,20,12,TOTAL_AMOUNT
1438,1873,107,23,780,TOTAL_AMOUNT
1532,1868,15,35,€,TOTAL_AMOUNT
1030,1966,19,20,A,O
1056,1971,68,20,payer,O
1402,1966,28,20,12,O
1439,1966,85,24,780,O
1530,1966,15,20,€,O
